id;sex;skullw;totlngth
C3;m;60.4;89
C5;f;57.6;91.5
C10;f;60;95.5
C15;f;57.1;92
C23;f;56.3;85.5
C24;f;54.8;90.5
C26;m;58.2;89.5
C27;f;57.6;91
C28;f;56.3;91.5
C31;f;58;89.5
C32;f;57.2;89.5
C34;f;55.6;92
C36;m;59.9;89.5
C37;m;57.6;91.5
C39;m;57.6;85.5
C40;m;56;86
C45;f;67.7;89.5
C47;m;55.7;90
C48;f;55.4;90.5
C50;f;56.3;89
C54;f;58.1;96.5
C55;m;58.5;91
C58;f;56.1;89
C59;m;54.9;84
C60;m;58.5;91.5
C61;m;59;90
C63;f;54.5;85
C64;m;56.8;87
A1;f;56;88
A2;f;54.4;84
A3;m;54.1;93
A4;f;56.7;94
AD1;m;54.6;89
BB4;m;55.7;85.5
BB13;m;57.9;85
BB15;m;59.3;88
BB17;f;54.8;82.5
BB25;m;56;80.5
BB31;f;51.5;75
BB33;f;55;84.5
BB36;f;57;83
BB38;m;54.1;77
BB40;f;55.5;81
BB41;m;51.5;76
BB44;m;55.9;81
BB45;m;54.4;84
WW1;m;54.8;89
WW2;m;63.2;85
WW3;m;59.2;85
WW4;f;56.4;88
WW5;f;59.6;85
WW6;m;61;93.5
WW7;f;58.1;91
BR1;m;63;91.5
BR2;m;63.2;92.5
BR3;m;61.5;93.7
BR4;f;59.4;93
BR5;m;64.2;91
BR6;m;62.8;96
BR7;f;57.7;88
CD1;m;59;86
CD2;f;58;90.5
CD3;f;56.4;88.5
CD4;f;56.5;89.5
CD5;f;57.4;88.5
CD6;f;55.8;86
CD7;m;57.6;85
CD8;m;56;88.5
CD9;m;55.6;88
CD10;f;56.4;87
CD11;m;57.6;90
CD12;m;52.4;80.5
CD13;m;52.3;82
BSF1;f;52;83
BSF2;m;58.1;89
BSF3;m;56.8;89
BSF4;m;56.2;84
BSF5;m;51;81
BSF6;m;50;81
BSF7;m;52.6;84
BSF8;m;56;85.5
BSF9;f;54;82
BSF10;f;53.8;81.5
BSF11;m;54.6;80.5
BSF12;m;56.2;92
BSF13;f;53.2;86.5
BTP1;m;60.7;93
BTP3;f;58;87.5
BTP4;m;58.4;84.5
BTP5;m;54.6;85
BTP6;m;59.6;89
BTP7;m;56.3;85
BTP8;m;54;82
BTP9;m;57.6;84
BTP10;m;56.6;88.5
BTP12;m;55.7;83
BTP13;m;53.1;86
BTP14;m;68.6;84
BTP15;f;56.2;86.5
BTP16;m;56;81.5
BTP17;m;54.7;82.5
BTP19;f;55;89
BTP20;m;55.2;82.5
BTP21;f;59.9;89
